A     54 AIR (800 K)   (1440 R)        835N 224O   5AR  0    0    0    127 .0000]
A     55 AIR (833.33 K) (1500 R)       835N 224O   5AR  0    0    0    135 .0000]
A     56 AIR (875 K)   (1575 R)        835N 224O   5AR  0    0    0    147 .0000]
A     57 AIR (925 K)   (1665 R)        835N 224O   5AR  0    0    0    160 .0000]
A     58 AIR (1000 K)  (1800 R)        835N 224O   5AR  0    0    0    180 .0000]
A     59 AIR (1111.1 K) (2000 R)       835N 224O   5AR  0    0    0    201 .0000]
A     60 AIR (1250 K) (2250 R)         835N 224O   5AR  0    0    0    249 .0000]
      61 ALUMINUM  FLOURIDE              3F   1AL  0    0    0    0   -844 .0000]
      62 ALUMINUM (NON-REACTIVE)         1U4  0    0    0    0    0      0 .0976]
E     63 ALUMINUM (PURE CRYSTALINE)      1AL  0    0    0    0    0      0 .0976]
E     64 ALUMINUM BERYLLIUM (ALLOY)      3BE  1AL  0    0    0    0      0 .0795]
E     65 ALUMINUM BERYLLIUM (ALLOY)      1BE  1AL  0    0    0    0      0 .0874]
E     66 ALUMINUM BORIDE                12B   1AL  0    0    0    0   -314 .0921]
B     67 ALUMINUM BOROHYDRIDE (LIQ.)     1AL  3B  12H   0    0    0   -301 .0199]
      68 ALUMINUM BOROHYDRIDE (GAS)      1AL  3B  12H   0    0    0   -208 .0000]
E     69 ALUMINUM BORON (ALLOY)         12B   1AL  0    0    0    0   -600 .0978]
E     70 ALUMINUM CARBIDE                4AL  3C   0    0    0    0   -215 .0852]
E     71 ALUMINUM DIBORIDE               2B   1AL  0    0    0    0  -1632 .1152]
E     72 ALUMINUM HYDRIDE                1AL  3H   0    0    0    0    -92 .0516]
      73 ALUMINUM NITRIDE                1N   1AL  0    0    0    0  -1407 .1170]
      74 ALUMINUM OXIDE                  2AL  3O   0    0    0    0  -4000 .0670]
      75 ALUMINUM PERCHLORATE           12O   1AL  3CL  0    0    0   -614 .0939]
      76 ALUMINUM TRIOXIDE TRIHYDRATE    2AL  6O   6H   0    0    0  -3934 .0874]
      77 ALUMINUMBOROHYDRIDEDIMETHYLAM   2C  19H   1AL  3B   1N   0   -468 .0265]
      78 AMINE TERMINATED POLYBUTADIENE  6H   4C   0    0    0    0     56 .0360]
      79 AMINO TETROZOLE                 3H   1C   5N   0    0    0    585 .0595]
      80 AMINO TETROZOLE PERCHLORATE     4H   1C   5N   4O   1CL  0    204 .0668]
      81 AMINOGUANIDIUM BITERAZOLE       3C  10H  14N   0    0    0    526 .0562]
      82 AMINOXYLENE (XYLIDENE)         11H   8C   1N   0    0    0    -65 .0000]
B     83 AMMONIA (LIQUID)                3H   1N   0    0    0    0  -1004 .0244]
B     84 AMMONIA (GASEOUS)               3H   1N   0    0    0    0   -649 .0000]
      85 AMMONIA TRIBORANE               3B  10H   1N   0    0    0   -867 .0000]
      86 AMMONIATED ALUMINUM IODIDE      1AL  3I  20N  60H   0    0   -782 .0000]
      87 AMMONIATED ALUMINUM IODIDE      1AL  3I   3N   9H   0    0   -454 .0000]
      88 AMMONIATED ALUMINUM IODIDE      1AL  3I   6N  18H   0    0   -622 .0000]
      89 AMMONIATED ALUMINUM IODIDE      1AL  3I   5N  15H   0    0   -592 .0000]
      90 AMMONIATED ALUMINUM IODIDE      1AL  3I   7N  21H   0    0   -645 .0000]
      91 AMMONIATED ALUMINUM IODIDE      1AL  3I   1N   3H   0    0   -282 .0000]
      92 AMMONIATED ALUMINUM IODIDE      1AL  3I   9N  27H   0    0   -676 .0000]
      93 AMMONIATED ALUMINUM IODIDE      1AL  3I  13N  39H   0    0   -722 .0000]
      94 AMMONIATED BERYLLIUM IODIDE     1BE  2I   4N  12H   0    0   -642 .0000]
      95 AMMONIATED BERYLLIUM IODIDE     1BE  2I  13N  39H   0    0   -792 .0000]
      96 AMMONIATED BERYLLIUM IODIDE     1BE  2I   6N  18H   0    0   -690 .0000]
      97 AMMONIATED CALCIUM IODIDE       1CA  2I   2N   6H   0    0   -570 .0000]
      98 AMMONIATED CALCIUM IODIDE       1CA  2I   1N   3H   0    0   -507 .0000]
      99 AMMONIATED CALCIUM IODIDE       1CA  2I   6N  18H   0    0   -720 .0000]
     100 AMMONIATED CALCIUM IODIDE       1CA  2I   8N  24H   0    0   -735 .0000]
     101 AMMONIATED COPPER NITRATE       1CU  6N   6O  12H   0    0   -769 .0000]
     102 AMMONIATED COPPER NITRATE       1CU  8N   6O  18H   0    0   -822 .0000]
     103 AMMONIATED COPPER NITRATE       1CU  4N   6O   6H   0    0   -630 .0000]
     104 AMMONIATED LITHIUM IODIDE       1LI  1I   2N   6H   0    0   -691 .0000]
     105 AMMONIATED LITHIUM IODIDE       1LI  1I   4N  12H   0    0   -799 .0000]
     106 AMMONIATED LITHIUM IODIDE       2LI  2I  11N  33H   0    0   -417 .0000]
     107 AMMONIATED LITHIUM IODIDE       1LI  1I   3N   9H   0    0   -751 .0000]
     108 AMMONIATED LITHIUM IODIDE       1LI  1I   7N  21H   0    0   -857 .0000]
     109 AMMONIATED LITHIUM IODIDE       1LI  1I   1N   3H   0    0   -608 .0000]
     110 AMMONIATED LITHIUM IODIDE       1LI  1I   5N  15H   0    0   -825 .0000]
     111 AMMONIATED MAGNESIUM IODIDE     1MG  2I   2N   6H   0    0   -500 .0000]
     112 AMMONIUM 5-NITRAMINOTETRAZOLE   1C   7N   5H   2O   0    0    222 .0538]
     113 AMMONIUM ACETATE                2C   7H   2O   1N   0    0  -1820 .0422]
     114 AMMONIUM ALUMINUM PERCHLORATE  12H   3N  24O   1AL  6CL  0   -514 .0756]
E    115 AMMONIUM AZIDE                  4H   4N   0    0    0    0    452 .0486]
     116 AMMONIUM BIBORATE (H15N2B4O10) 15H   2N   4B  10O   0    0   -271 .0939]
     117 AMMONIUM BICARBONATE            1C   5H   3O   1N   0    0  -2580 .0570]
     118 AMMONIUM BIFLOURIDE(AF+LIQ HF)  5H   1N   2F   0    0    0  -3189 .0000]
     119 AMMONIUM BOROFLUORIDE           4H   1B   1N   4F   0    0  -2860 .0668]
     120 AMMONIUM BROMIDE                4H   1N   1BR  0    0    0   -659 .0878]
     121 AMMONIUM CARBONATE              1C   8H   2N   3O   0    0  -2340 .0000]
     122 AMMONIUM CHLORIDE               1N   4H   1CL  0    0    0  -1410 .0551]
     123 AMMONIUM CYANATE                1C   4H   1O   2N   0    0  -1245 .0484]
     124 AMMONIUM CYANIDE                2N   4H   1C   0    0    0      0 .0000]
FI   125 AMMONIUM DICHROMATE             8H   2N   7O   2CR  0    0  -1688 .0776]
     126 AMMONIUM DICYANAMIDE            2C   4H   4N   0    0    0    121 .0000]
     127 AMMONIUM FLOURIDE               4H   1N   1F   0    0    0  -1287 .0000]
     128 AMMONIUM FLOURIDE               4H   1N   1F   0    0    0  -3000 .0364]
     129 AMMONIUM FLOUROSILICATE         2N   8H   1SI  6F   0    0  -3530 .0726]
I    130 AMMONIUM FORMATE                1C   5H   2O   1N   0    0  -2105 .0462]
     131 AMMONIUM GLYCOLLATE             2C   7H   3O   1N   0    0  -1410 .0000]
     132 AMMONIUM GLYOXALLATE            2C   7H   4O   1N   0    0  -2100 .0000]
     133 AMMONIUM IODIDE                 4H   1N   1I   0    0    0   -334 .0000]
F    134 AMMONIUM NITRATE                4H   2N   3O   0    0    0  -1090 .0623]
I    135 AMMONIUM OXALATE                8H   2C   2N   4O   0    0  -2160 .0542]
     136 AMMONIUM OXALATE (HYDRATED)     2C  10H   5O   1N   0    0  -2400 .0542]
F    137 AMMONIUM PERCHLORATE (AP)       1CL  4H   1N   4O   0    0   -602 .0704]
     138 AMMONIUM PERIODATE              4H   1N   4O   1I   0    0   -360 .1270]
I    139 AMMONIUM SULPHATE               8H   2N   4O   1S   0    0  -2133 .0643]
     140 AMMONIUMTRINITROIMIDAZOLE(ATNI  3C   6O   4H   6N   0    0    -16 .0662]
     141 AMSCO 140H SOLVENT              6C  12H   0    0    0    0   -437 .0292]
I    142 AMYL FERROCENE                 20H  15C   1FE  0    0    0    -81 .0422]
     143 AN                              4H   2N   3O   0    0    0  -1085 .0623]
     144 ANILINE                         7H   6C   1N   0    0    0     79 .0367]
     145 ANTHRACENE                     10H  14C   0    0    0    0    152 .0451]
     146 ARGON                           1AR  0    0    0    0    0      0 .0644]
     147 ASTROGELL                      30H  15C   1O   1AL  0    0   -436 .0540]
     148 AZO'BIS'ISOBUTYRONITRILE'2,2    8C  12H   4N   0    0    0    333 .0000]
     149 AZODICARBONAMIDE                2C   4H   2O   4N   0    0   -602 .0000]
     150 B-2000                         55C 111H  14O   0    0    0   -833 .0349]
     151 BAMO-THF GUMSTOCK             370C 648H  83O 255N   0    0     83 .0000]
     152 BAMO/AMMO(50/50)               50C  85H  45N  10O   0    0    244 .0451]
     153 BAMO/AZOX(50/50)               40C  65H  45N  10O   0    0    318 .0480]
     154 BAMO/BNMO                       5C   8H   4O   4N   0    0     24 .0523]
     155 BAMO/THF(53/47)               453C 800H 317N 100O   0    0    211 .0427]
I    156 BARIUM CHROMATE                 1BA  1CR  4O   0    0    0  -1347 .1625]
FI   157 BARIUM NITRATE                  2N   6O   1BA  0    0    0   -907 .1170]
     158 BARIUM PEROXIDE                 1BA  2O   0    0    0    0   -889 .1791]
     159 BASIC LEAD CARBONATE            3PB  2C   8O   2H   0    0      0 .0000]
B    160 BENZENE                         6H   6C   0    0    0    0    143 .0317]
     161 BENZOTRIFUROXANE (BTF)          6C   6O   6N   0    0    0    571 .0686]
     162 BERYLLIUM (NON-REACTIVE)        1U2  0    0    0    0    0      0 .0668]
E    163 BERYLLIUM (PURE CRYSTALINE)     1BE  0    0    0    0    0      0 .0668]
E    164 BERYLLIUM BOROHYDRIDE           2B   1BE  8H   0    0    0   -666 .0218]
     165 BERYLLIUM HYDRIDE               1BE  2H   0    0    0    0   -399 .0250]
     166 BERYLLIUM NITRIDE               3BE  2N   0    0    0    0  -2464 .0000]
     167 BIS TRIAMINOGUANIDINIUMDECABOR  2C  28H  10B  12N   0    0    180 .0000]
     168 BIS(2,2,2-TRINTROETHYL)SEBALAT 14C  20H  16O   6N   0    0   -409 .0000]
     169 BIS(2-FLUORO-2,2-DINITROETHYL)  4C   4H  10O   6N   2F   0   -361 .0000]
+    170      NITRAMINE                                                         ]
     171 BIS(2-FLUORO-2,2-DINITROETHYL)  4C   5H   8O   5N   2F   0   -439 .0000]
+    172      AMINE                                                             ]
     173 BIS(2-FLUORO-2,2-DINITROETHYL)  4C   4H   9O   6N   2F   0   -321 .0000]
+    174      NITROSAMINE                                                       ]
     175 BIS(2-FLUORO-2,2-DINITROETHYL)  6C   6H  10O   6N   2F   0   -645 .0000]
+    176      OXAMIDE                                                           ]
     177 BIS(2-FLUORO-2,2-DINITROETHYL)  6C   4H  12O   4N   2F   0   -798 .0000]
+    178      OXALATE                                                           ]
     179 BIS(CMETHYLHYDRAZINO)DECABORA   4C  26H  10B   6N   0    0    100 .0404]
     180 BIS(DIFLUOROAMINO)BUTANE'2,3    4C   8H   4F   2N   0    0   -353 .0437]
     181 BIS(DIFLUOROAMINO)BUTANE'2,3    4C   8H   4F   2N   0    0   -348 .0438]
     182 BIS(DIFLUOROAMINO)DIFLUOROMETH  1C   6F   2N   0    0    0   -698 .0000]
     183 BIS(DIFLUOROAMINO)METHYLPENTAN  6C  12H   4F   2N   0    0   -309 .0000]
     184 BIS(DIFLUOROAMINO)METHYLPENTAN  6C  12H   4F   2N   0    0   -363 .0415]
     185 BIS(DIFLUOROAMINO)OCTANE'2,2    8C  16H   4F   2N   0    0   -347 .0397]
     186 BIS(DINITRO) FLUOROPROPANE      3C   5H   1F   2N   4O   0   -530 .0000]
     187 BIS(DINITROFLUORETHYL)FORMAL    5C   6H   2F   4N  10O   0   -559 .0576]
     188 BIS(DINITROPROPYL)ACETAL BDNPA  8C  14H   4N  10O   0    0   -485 .0491]
     189 BIS(DINITROPROPYL)ACETAL BDNPA  8C  14H   4N  10O   0    0   -470 .0485]
     190 BIS(DINITROPROPYL)FORMAL BDNPF  7C  12H   4N  10O   0    0   -475 .0516]
     191 BIS(DINITROPROPYL)FORMAL BDNPF  7C  12H   4N  10O   0    0   -457 .0511]
     192 BIS(FLUOROXY)DIFLUOROMETHANE    1C   4F   2O   0    0    0  -1122 .0000]
     193 BIS(FLUOROXY)DIFLUOROMETHANE    1C   4F   2O   0    0    0  -1159 .0433]
     194 BIS(METHYLHYDRAZINO)DECABORANE  2C  24H  10B   4N   0    0   -470 .0000]
     195 BIS(TRIAMINOGUANIDIUM)5.5-AZO   4C  18H  22N   0    0    0    710 .0543]
     196 BIS(TRINITROETHYL)NITRAMINE     4C   4H   8N  14O   0    0     13 .0008]
     197 BIS22METHOXYETHOXY ETHYL ETHER 10C  22H   5O   0    0    0   -966 .0000]
     198 BISDIFLUOROAMINOHEPTANE         7C  14H   4F   2N   0    0   -320 .0426]
     199 BISTETRAZOLE                    2C   2H   8N   0    0    0   1093 .0576]
     200 BITETRAZOLE                     2C   8N   2H   0    0    0    797 .0000]
     201 BITRETRAZOLE                    2C   2H   9N   0    0    0    725 .0000]
     202 BORINE AMMONIATE                1B   6H   1N   0    0    0  -1340 .0264]
E    203 BORON (AMORPHOUS)               1B   0    0    0    0    0     37 .0856]
E    204 BORON (PURE CRYSTALINE)         1B   0    0    0    0    0      0 .0845]
E    205 BORON (TRONA)                  67B   3O   0    0    0    0   -358 .0845]
E    206 BORON CARBIDE                   4B   1C   0    0    0    0   -221 .0905]
     207 BORON NITRIDE                   1B   1N   0    0    0    0  -2430 .0795]
     208 BORON OXIDE                     2B   3O   0    0    0    0  -4339 .0656]
B    209 BORON SLURRY                  553H 881B 252C  45O   2AL  0   -425 .0536]
     210 BROMINE (GAS)                   2BR  0    0    0    0    0     46 .0000]
C    211 BROMINE PENTAFLUORIDE (LIQ.)    1BR  5F   0    0    0    0   -627 .0888]
C    212 BROMINE PENTAFLUORIDE (GAS)     1BR  5F   0    0    0    0   -586 .0000]
C    213 BROMINE TRIFLUORIDE   (GAS)     1BR  3F   0    0    0    0   -446 .0000]
C    214 BROMINE TRIFLUORIDE   (LIQ.)    1BR  3F   0    0    0    0   -530 .1012]
     215 BROMOTRIFLUOROMETHANE           1C   1BR  3F   0    0    0  -1301 .0000]
     216 BSX                             8C  14H  10O   6N   0    0  -1082 .0650]
     217 BTNEC                           4H   5C   6N  15O   0    0   -430 .0680]
     218 BTNEN                           4H   4C   8N  14O   0    0     39 .0704]
     219 BTNEV                           5C  13O   6H   8N   0    0   -187 .0675]
     220 BUTANE(2,2-BISDIFLUOROAMINO)    4C   8H   4F   2N   0    0   -318 .0000]
     221 BUTANE(2,3-BISDIFLUOROAMINO)    4C   8H   4F   2N   0    0   -348 .0000]
G    222 BUTAREZ (PHILLIPS INFO)       519H 347C   8O   0    0    0    -21 .0325]
G    223 BUTYL RUBBER                    8H   4C   0    0    0    0   -376 .0332]
     224 BUTYL SILANE                   12H   4C   1SI  0    0    0    357 .0000]
     225 BUTYLNITRAMINE (NORMAL)         4C  10H   2N   2O   0    0   -264 .0385]
     226 C2H7N (CARROZ)                  2C   7H   1N   0    0    0      0 .0000]
     227 C5H10N14O8  (REED)              5C  10H  14N   8O   0    0   2479 .0000]
     228 CALCIUM BITETRAZOLE             1CA  8N   2C   0    0    0    284 .0000]
     229 CALCIUM BORIDE                519H 347C   8O   0    0    0    -21 .0325]
     230 CALCIUM CARBIDE                 2C   1CA  0    0    0    0   -234 .0801]
     231 CALCIUM CARBONATE (CACO3)       1C   3O   1CA  0    0    0  -2895 .0000]
     232 CALCIUM CHLORIDE                2CL  1CA  0    0    0    0  -1710 .0775]
     233 CALCIUM CHROMATE                1CA  1CR  4O   0    0    0  -2111 .1044]
     234 CALCIUM FLUORIDE                2F   1CA  0    0    0    0  -3722 .1149]
     235 CALCIUM FORMATE                 2H   2C   4O   1CA  0    0  -2488 .0728]
     236 CALCIUM HYDRIDE                 2H   1CA  0    0    0    0  -1092 .0614]
     237 CALCIUM HYDROXIDE               1CA  2O   2H   0    0    0  -3182 .0809]
     238 CALCIUM NITRATE                 1CA  2N   6O   0    0    0  -1365 .0852]
     239 CALCIUM OXIDE (CAO)             1O   1CA  0    0    0    0  -2710 .1217]
     240 CALCIUM PERCHLORATE             1CA  2CL  8O   0    0    0   -749 .0957]
     241 CALCIUM PEROXIDE                1CA  2O   0    0    0    0  -2185 .0000]
     242 CANDELILLA WAX                  2C   4H   0    0    0    0   -453 .0325]
     243 CANDELLIA WAX                  69C 122H   3O   0    0    0   -142 .0000]
     244 CARBON (AMORPHOUS)              1C   0    0    0    0    0    917 .0637]
     245 CARBON (GRAPHITE)               1C   0    0    0    0    0      0 .0818]
I    246 CARBON BLACK                    1C   0    0    0    0    0      0 .0637]
     247 CARBON DIOXIDE                  1C   2O   0    0    0    0  -2137 .0398]
     248 CARBON DISULFIDE (WHEW)         1C   2S   0    0    0    0    276 .0456]
     249 CARBON MONOXIDE                 1C   1O   0    0    0    0   -943 .5721]
E    250 CARBON SUBNITRIDE               4C   2N   0    0    0    0   1970 .0350]
     251 CARBON TETRACHLORIDE            1CA  4CL  0    0    0    0   -216 .0000]
     252 CARBON TETRAFLOURIDE (GAS)      1C   4F   0    0    0    0  -2505 .0000]
G    253 CARBOXY TERM. POLYBUTADIENE    72C 108H   1O   0    0    0    160 .0000]
G    254 CARBOXY TERM. POLYBUTADIENE    73C 105H   1O   0    0    0    117 .0000]
G    255 CARBOXY TERM. POLYBUTADIENE    69C 103H  19O  30N   0    0    -29 .0000]
+    256      NITRILE                                                           ]
G    257 CARBOXY TERM. POLYBUTADIENE   680C 962H  53N   0    0    0   -143 .0000]
+    258      NITRILE                                                           ]
G    259 CARBOXY TERM. POLYBUTADIENE   688C 999H  13O  34N   0    0     33 .0000]
+    260      NITRILE                                                           ]
G    261 CARBOXY TERM. POLYBUTADIENE   691C 928H   1O   5N   0    0    -56 .0000]
+    262      NITRILE                                                           ]
G    263 CARBOXY TERM. POLYISOBUTYLENE  70C 135H   1O   0    0    0   -450 .0000]
I    264 CARNAUBA WAX                   67C 127H   4O   0    0    0   -460 .0000]
     265 CASTOR DIOL(HYDROXY NO.270-295 59C 111H 112H   0    0    0   -671 .0000]
I    266 CASTOR OIL                     62C 111H   9O   0    0    0   -626 .0346]
I    267 CATOCENE                       27C  32H   2FE  0    0    0    115 .0414]
     268 CELLULOSE                       6C  10H   5O   0    0    0  -1417 .0458]
G    269 CELLULOSE ACETATE (2)         149H 109C  74O   0    0    0  -1183 .0539]
G    270 CELLULOSE ACETATE (CARBOPOL)  149H 109C  74O   0    0    0  -1079 .0448]
G    271 CELLULOSE DINITRATE             6C   8H   2N   9O   0    0  -7144 .0599]
G    272 CELLULOSE TRINITRATE            6C   7H   3N  11O   0    0   -524 .0599]
     273 CELOGEN                         2C   4H   2O   4N   0    0  -1001 .0000]
     274 CERIUM                          1CE  0    0    0    0    0      0 .2419]
     275 CERIUM NITRIDE                  1CE  1N   0    0    0    0   -508 .0000]
     276 CESIUM  (PURE CRYSTALINE)       1CS  0    0    0    0    0      0 .0676]
     277 CESIUM AZIDE                    1CS  3N   0    0    0    0    -12 .0000]
     278 CESIUM CARBONATE                1C   3O   2CS  0    0    0   -821 .1521]
     279 CESIUM HYDRIDE                  1CS  1H   0    0    0    0    217 .1231]
     280 CESIUM NITRATE                  1CS  1N   3O   0    0    0   -625 .1331]
     281 CESIUM PERCHLORATE              1CS  1CL  4O   0    0    0   -447 .1201]
     282 CESIUM TUNGSTEN FLUORIDE        6F   1CS  1W   0    0    0  -1160 .1770]
     283 CHLORINE                        2CL  0    0    0    0    0    -76 .0536]
     284 CHLORINE HEPTOXIDE              2CL  7O   0    0    0    0    300 .0000]
     285 CHLORINE MONOFLUORIDE           1CL  1F   0    0    0    0   -222 .0000]
C    286 CHLORINE PENTAFLUORIDE (LIQ.)   1CL  5F   0    0    0    0   -464 .0642]
C    287 CHLORINE PENTAFLUORIDE (GAS)    1CL  5F   0    0    0    0   -427 .0000]
C    288 CHLORINE TRIFLUORIDE   (GAS)    1CL  3F   0    0    0    0   -410 .0000]
C    289 CHLORINE TRIFLUORIDE   (LIQ.)   1CL  3F   0    0    0    0   -480 .0652]
     290 CHROMIUM                        1CR  0    0    0    0    0      0 .2599]
     291 CHROMIUM CARBONYL   JAX78/5168  1CR  6C   6O   0    0    0  -1170 .0000]
     292 CHROMIUM OCTOATE                1CR 24C  45H   6O   0    0   -506 .0361]
     293 CIRCO LIGHT PROCESS OIL        32H  15C   0    0    0    0   -320 .0250]
     294 CL15                            6C   2H  10O  12N   0    0    466 .0715]
G    295 COMMERCIAL FLUOROCARBON       249C 139H   2O 360F   0    0  -1858 .0000]
     296 COPPER (PURE CRYSTALINE)        1CU  0    0    0    0    0      0 .3223]
     297 COPPER CHLORIDE                 2CL  2CU  0    0    0    0   -328 .1270]
     298 COPPER CHROMITE                 1CR  1CU  3O   0    0    0   -164 .2148]
     299 COPPER HYDROXIDE                2H   2O   1CU  0    0    0  -1099 .1216]
     300 COPPER OXIDE                    1O   2CU  0    0    0    0   -278 .2160]
     301 COPPER OXIDE (HYDRATED)         2H   2O   1CU  0    0    0  -1099 .1216]
     302 COPPER SULFIDE                  1CU  1S   0    0    0    0   -133 .1662]
G    303 CTPB(ARC ICRPG/AIAA PAPER)    579C 984H  22O   5N   1P   0   -342 .0324]
     304 CUMENE HYDROPEROXIDE           62C 830H  94O   0    0    0   -471 .0000]
     305 CUPRIC OXIDE                    1CU  1O   0    0    0    0   -439 .0000]
     306 CYANAMIDE                       1C   2H   2N   0    0    0    219 .0000]
     307 CYANOGAUNYL AZIDE               2C   2H   6N   0    0    0    881 .0000]
B    308 CYANOGEN (GASEOUS)              2C   2N   0    0    0    0   1414 .0000]
     309 CYCLOHEXYL AZIDE                6C  11H   3N   0    0    0    207 .0356]
     310 CYCLOPENTYL AZIDE               5C   9H   3N   0    0    0    385 .0353]
     311 CYCLOTETRAMETHYLENE TETRA HMX   8H   4C   8N   8O   0    0     61 .0686]
     312 DATB (DIAMINITRO BENZENE)       6C   4H   6N   8O   0    0   -101 .0000]
     313 DCDA                            2C   4H   4N   0    0    0     71 .0505]
E    314 DECABORANE                     10B  14H   0    0    0    0   -129 .0339]
E    315 DECABORANE A                   10B  18H   2N   0    0    0  -1198 .0000]
E    316 DECABORANE B                    2CS 10B  10H   0    0    0   -624 .0000]
     317 DECACYLENE                     18H  36C   0    0    0    0    117 .0596]
     318 DECAHYDRONAPTHALENE            18H  10C   0    0    0    0   -421 .0319]
     319 DECALIN-TETRALIN (80-20)      999H 596C   0    0    0    0   -339 .0000]
     320 DEKADIAZENE                    10B  22H   4N   0    0    0   -381 .0000]
G    321 DELRIN                          1C   2H   1O   0    0    0  -1373 .0509]
     322 DELRIN                        334C 664H  33O   0    0    0  -1373 .0000]
G    323 DELRIN                          1C   2H   1O   0    0    0  -1373 .0397]
     324 DETA (DIETHYLENE TRIAMINE,     13H   4C   3N   0    0    0   -149 .0344]
+    325      DIETHYL TRIAMINE)                                                 ]
     326 DHTT                            4C  10H  16N   0    0    0    647 .0572]
     327 DHTT                            4C  10H  16N   0    0    0    647 .0597]
     328 DI ISO CYANATE (DDI)           38C  72H   2N   2O   0    0   -354 .0315]
     329 DI-ISOBUTYL ACELATE            17C  32H   4O   0    0    0   -925 .0000]
     330 DI-N-PROPYL ADIPATE            12C  22H   4O   0    0    0  -1184 .0000]
     331 DIAMINO DIBORANE                2B  12H   2N   0    0    0   -745 .0000]
     332 DIAMINOGUANIDINE NITRATE        1C   8H   6N   3O   0    0   -239 .0000]
     333 DIAMINOGUANIDINIUM AZIDE(DAZAL  2C   8H   8N   0    0    0    741 .0513]
     334 DIAMMONIUM DECABORANE          10B  18H   2N   0    0    0   -450 .0000]
